DATE,NUMBER OF PERSONS KILLED,NUMBER OF PERSONS INJURED,TOTAL,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND,MaxFactor,MaxVehicle
01/01/2016,0,124,391,43,96,66,97,9,Driver Inattention/Distraction,PASSENGER VEHICLE
01/02/2016,0,118,414,43,100,76,98,7,Driver Inattention/Distraction,PASSENGER VEHICLE
01/03/2016,0,125,422,47,102,73,82,12,Driver Inattention/Distraction,PASSENGER VEHICLE
01/04/2016,1,122,587,56,148,94,124,23,Driver Inattention/Distraction,PASSENGER VEHICLE
01/05/2016,0,106,629,71,178,84,130,16,Driver Inattention/Distraction,PASSENGER VEHICLE
01/06/2016,0,122,605,62,165,102,120,18,Driver Inattention/Distraction,PASSENGER VEHICLE
01/07/2016,1,120,521,59,132,96,107,11,Driver Inattention/Distraction,PASSENGER VEHICLE
01/08/2016,2,132,600,83,149,104,146,19,Driver Inattention/Distraction,PASSENGER VEHICLE
01/09/2016,0,140,548,54,135,106,110,23,Driver Inattention/Distraction,PASSENGER VEHICLE
01/10/2016,1,124,454,40,124,63,86,15,Driver Inattention/Distraction,PASSENGER VEHICLE
01/11/2016,1,141,675,75,176,120,137,27,Driver Inattention/Distraction,PASSENGER VEHICLE
01/12/2016,1,115,631,62,148,135,120,20,Driver Inattention/Distraction,PASSENGER VEHICLE
01/13/2016,0,131,598,49,143,124,119,17,Driver Inattention/Distraction,PASSENGER VEHICLE
01/14/2016,1,130,593,63,135,127,126,15,Driver Inattention/Distraction,PASSENGER VEHICLE
01/15/2016,1,142,714,68,148,150,133,28,Driver Inattention/Distraction,PASSENGER VEHICLE
01/16/2016,2,134,559,54,114,98,124,24,Driver Inattention/Distraction,PASSENGER VEHICLE
01/17/2016,0,115,451,53,101,79,85,11,Driver Inattention/Distraction,PASSENGER VEHICLE
01/18/2016,1,123,480,53,143,65,86,14,Driver Inattention/Distraction,PASSENGER VEHICLE
01/19/2016,1,164,660,65,159,120,136,14,Driver Inattention/Distraction,PASSENGER VEHICLE
01/20/2016,0,132,617,60,143,120,130,22,Driver Inattention/Distraction,PASSENGER VEHICLE
01/21/2016,1,145,664,56,176,139,130,18,Driver Inattention/Distraction,PASSENGER VEHICLE
01/22/2016,1,140,698,62,168,139,134,25,Driver Inattention/Distraction,PASSENGER VEHICLE
01/23/2016,0,41,402,48,102,55,112,20,Pavement Slippery,PASSENGER VEHICLE
01/24/2016,0,55,510,69,111,49,148,35,Pavement Slippery,PASSENGER VEHICLE
01/25/2016,0,74,655,57,177,109,157,24,Pavement Slippery,PASSENGER VEHICLE
01/26/2016,0,102,732,82,170,121,189,24,Driver Inattention/Distraction,PASSENGER VEHICLE
01/27/2016,0,105,665,76,158,119,144,28,Driver Inattention/Distraction,PASSENGER VEHICLE
01/28/2016,1,124,681,69,161,118,148,23,Driver Inattention/Distraction,PASSENGER VEHICLE
01/29/2016,0,112,645,72,162,116,125,26,Driver Inattention/Distraction,PASSENGER VEHICLE
01/30/2016,1,101,595,61,119,121,130,25,Driver Inattention/Distraction,PASSENGER VEHICLE
01/31/2016,0,99,532,53,149,74,108,18,Driver Inattention/Distraction,PASSENGER VEHICLE
02/01/2016,0,150,713,74,174,113,149,25,Driver Inattention/Distraction,PASSENGER VEHICLE
02/02/2016,0,145,708,58,185,137,149,36,Driver Inattention/Distraction,PASSENGER VEHICLE
02/03/2016,1,133,579,62,160,109,108,21,Driver Inattention/Distraction,PASSENGER VEHICLE
02/04/2016,0,123,608,62,149,114,108,21,Driver Inattention/Distraction,PASSENGER VEHICLE
02/05/2016,1,135,607,58,137,123,133,28,Driver Inattention/Distraction,PASSENGER VEHICLE
02/06/2016,1,134,552,66,127,116,106,20,Driver Inattention/Distraction,PASSENGER VEHICLE
02/07/2016,0,104,422,40,106,70,92,9,Driver Inattention/Distraction,PASSENGER VEHICLE
02/08/2016,0,88,496,51,124,97,93,13,Driver Inattention/Distraction,PASSENGER VEHICLE
02/09/2016,0,100,568,59,141,107,116,10,Driver Inattention/Distraction,PASSENGER VEHICLE
02/10/2016,3,107,534,56,123,111,102,20,Driver Inattention/Distraction,PASSENGER VEHICLE
02/11/2016,1,150,621,59,151,133,117,13,Driver Inattention/Distraction,PASSENGER VEHICLE
02/12/2016,1,144,627,63,142,141,115,20,Driver Inattention/Distraction,PASSENGER VEHICLE
02/13/2016,0,109,477,51,115,95,84,15,Driver Inattention/Distraction,PASSENGER VEHICLE
02/14/2016,0,55,306,23,73,78,52,3,Driver Inattention/Distraction,PASSENGER VEHICLE
02/15/2016,1,65,288,30,86,52,42,15,Pavement Slippery,PASSENGER VEHICLE
02/16/2016,1,129,611,85,134,110,129,23,Driver Inattention/Distraction,PASSENGER VEHICLE
02/17/2016,0,84,521,52,117,134,97,11,Driver Inattention/Distraction,PASSENGER VEHICLE
02/18/2016,0,117,591,65,136,115,100,16,Driver Inattention/Distraction,PASSENGER VEHICLE
02/19/2016,0,99,532,49,106,140,88,13,Driver Inattention/Distraction,PASSENGER VEHICLE
02/20/2016,2,140,554,50,128,115,110,21,Driver Inattention/Distraction,PASSENGER VEHICLE
02/21/2016,0,112,482,44,128,101,92,14,Driver Inattention/Distraction,PASSENGER VEHICLE
02/22/2016,1,103,615,70,124,107,125,23,Driver Inattention/Distraction,PASSENGER VEHICLE
02/23/2016,0,140,621,69,133,147,110,23,Driver Inattention/Distraction,PASSENGER VEHICLE
02/24/2016,0,145,654,47,149,146,122,27,Driver Inattention/Distraction,PASSENGER VEHICLE
02/25/2016,0,151,663,78,155,123,121,13,Driver Inattention/Distraction,PASSENGER VEHICLE
02/26/2016,0,116,475,45,85,108,89,20,Driver Inattention/Distraction,PASSENGER VEHICLE
02/27/2016,0,110,386,47,105,61,78,11,Driver Inattention/Distraction,PASSENGER VEHICLE
02/28/2016,5,117,508,61,125,93,91,10,Driver Inattention/Distraction,PASSENGER VEHICLE
02/29/2016,1,152,616,66,134,93,123,27,Driver Inattention/Distraction,PASSENGER VEHICLE
03/01/2016,0,122,660,68,165,125,114,22,Driver Inattention/Distraction,PASSENGER VEHICLE
03/02/2016,0,127,650,56,130,123,149,18,Driver Inattention/Distraction,PASSENGER VEHICLE
03/03/2016,1,121,623,64,160,124,116,13,Driver Inattention/Distraction,PASSENGER VEHICLE
03/04/2016,0,132,682,70,160,140,124,17,Driver Inattention/Distraction,PASSENGER VEHICLE
03/05/2016,0,148,601,75,117,119,128,19,Driver Inattention/Distraction,PASSENGER VEHICLE
03/06/2016,1,122,499,58,105,85,107,8,Driver Inattention/Distraction,PASSENGER VEHICLE
03/07/2016,0,115,568,45,153,104,106,23,Driver Inattention/Distraction,PASSENGER VEHICLE
